Timestamp,What is your gender,Year of graduation,Title of course studied,Polytechnic/University attended,What is your highest level of education?,What best describes your current status?,How many jobs have you had since graduation including your current one?,Have you completed your NYSC?,"If you answered yes/ongoing to the previous question, what year did you (or will you) complete your NYSC?",Did you get your first full time job through your NYSC placement?,"Thinking about your first employment after graduation, what was your job level?",What is/was your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)","Still thinking about your first employment, what is/was your monthly income level?","Did you need your higher education qualification to get your first job (the actual qualification, not the subject of study)?",What was the most significant reason for deciding to take your first job?,"Thinking about your current employment, what is your job level?",What is your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)",What is your current monthly income level?,"Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","As far as you are aware, what was most important to your current employer about your qualification?",How do you find out about your job(s)?,"Thinking about your current employment, did you work for your employer before or during your  higher education study?",Which form of transport do you use the most?,Were you able to rent an apartment or buy a car from the salary you got from your first job?,My course of study prepared me well for employment,My course of study prepared me well for further studies,Which of these skills/knowledge did your higher education prepare you for?
3/20/2018 16:39,Female,2014,Business Administration,"Abia State University, Uturu.",Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2018 20:50,Female,2017,Mass Communication (Communication and Language Arts),University of Port-Harcourt,Bachelor's degree,Doing something else (e.g. looking after home or family),0,No,,I have not completed my NYSC,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2018 21:51,Male,2015,Chemical Engineering,"Federal University of Petroleum Resources, Effurun",Bachelor's degree,Self-employed/freelance/entrepreneur,1,Yes,2016,No,,,,,,,Entry level,Customer Service,Logistics / Transportation,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Media (e.g. newspaper/magazine advertisement),No,Walking,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/20/2018 22:00,Female,2017,Agriculture,"Landmark University,Omu-Aran.",Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,I have not completed my NYSC,Clerical and administrative,Project Co-Ordinator,Others,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,In order to earn a living/pay off debts,Entry level,Executive Assistance/Personal Assitance,NGO,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,"Personal contacts, including family and friends",No,Car,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/20/2018 22:06,Male,2014,Architecture,Covenant University Ota,Master's degree,Working full time (paid employment),2,Yes,2017,No,Entry level,Architect,Construction / Real Estate,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Architect,Construction / Real Estate,"‎₦150,000 - ‎₦199,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),Social media/professional networking sites,No,Car,No,Strongly Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills"
3/20/2018 23:36,Male,2013,Accountancy,"Abia State University, Uturu.",Bachelor's degree,Self-employed/freelance/entrepreneur,3,Yes,2014,No,Clerical and administrative,Teacher,Education,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,In order to earn a living/pay off debts,Experience/Professional,Content Creator/Content Writer/ Content Developer,Media,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Experience and creativity ,Social media/professional networking sites,No,Car,No,Strongly Disagree,Agree,Ability to work with others
3/21/2018 7:58,Male,2017,Chemical Engineering,University of Benin,Bachelor's degree,Unemployed,0,No,2019,I have not completed my NYSC,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2018 9:44,Male,2016,Law,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,I have not completed my NYSC,,,,,,,Entry level,Law And Other Legal Related Roles,Legal,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,No one thing was important,Media (e.g. newspaper/magazine advertisement),No,Keke Marwa/Napep/Tricycle,No,Agree,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/21/2018 10:02,Male,2017,Electrical & Electronic Engineering,"Ambrose Alli University, Ekpoma,",Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,I have not completed my NYSC,Entry level,Teacher,Education,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,It was an opportunity to progress in the organisation,Entry level,Operations Manager,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,No one thing was important,Recruitment agency/Online job site,No,Keke Marwa/Napep/Tricycle,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/21/2018 12:25,Male,2014,Mechanical Engineering,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,"Engaged in full-time further study, training or research",0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2018 13:59,Male,2016,Computer Science,"Caritas University, Enugu",Bachelor's degree,Working full time (paid employment),3,Yes,2017,No,Entry level,Graphic Designer,Advertising / Marketing / Comms,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,It was the best job offer I received,Experience/Professional,Creatives,Education,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,Media (e.g. newspaper/magazine advertisement),No,BRT,No,Strongly Disagree,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills"
3/21/2018 14:10,Female,2017,Geography,Olabisi Onabanjo University Ago-Iwoye,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,I have not completed my NYSC,Clerical and administrative,Customer Service,Trade / Services,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Customer Service,Trade / Services,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),Recruitment agency/Online job site,No,BRT,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/21/2018 15:08,Male,2015,Urban and Regional Planning,"Federal University of Technology, Minna.",Bachelor's degree,Voluntary or other unpaid work or on an internship,2,Yes,2017,No,Entry level,Estate Management,Construction / Real Estate,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,To gain and broaden my experience in order to get the type of job I really want,Entry level,Estate Management,Construction / Real Estate,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,The level of study,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/21/2018 15:10,Female,2015,French,"Imo State University, Owerri",Bachelor's degree,Unemployed,2,Yes,2017,Yes,Experience/Professional,Teacher,Education,"Under ‎₦20,000",No: the qualification was not required,It fitted into my career plan/it was exactly the type of work I wanted,Entry level,Teacher,Education,"Under ‎₦20,000",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The level of study,Recruitment agency/Online job site,No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,Spoken communication skills
3/21/2018 15:43,Female,2014,Mass Communication (Communication and Language Arts),"Lagos State University Ojo, Lagos.",Bachelor's degree,Working full time (paid employment),1,Yes,2016,No,,,,,,,Entry level,Content Creator/Content Writer/ Content Developer,Ecommerce/Internet,"‎₦100,000 - ‎₦149,999",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,The level of study,Recruitment agency/Online job site,No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/21/2018 16:18,Female,2013,Economics,"University of Nigeria, Nsukka",Bachelor's degree,Working full time (paid employment),4,Yes,2015,No,Entry level,Finance/Accounting,Oil & Gas / Mining,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To see if I would like the type of work it involved,Experience/Professional,Human Resources,Consulting,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Previous work experience,"Personal contacts, including family and friends",No,BRT,No,Strongly Agree,Strongly Agree,Critical thinking skills
3/21/2018 16:21,Male,2015,Mathematics,University of Ilorin,Bachelor's degree,Voluntary or other unpaid work or on an internship,3,Yes,2016,No,Managerial,Executive Assistance/Personal Assitance,Food Services,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,To gain and broaden my experience in order to get the type of job I really want,Entry level,Data Entry,Consulting,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Knowledge of the skill(s) you are studying"
3/21/2018 16:35,Male,2016,Business Administration,"Achievers University, Owo",Bachelor's degree,Working full time (paid employment),1,Yes,2013,No,,,,,,,Experience/Professional,Data Entry,Ecommerce/Internet,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Internship,Yes: before and during my higher education study,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to work with others, Spoken communication skills"
3/21/2018 16:43,Female,2013,Political Science,Others (For foreign trained students),Bachelor's degree,Working full time (paid employment),5,Yes,2016,No,Entry level,Human Resources,Consulting,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Human Resources,Consulting,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Recruitment agency/Online job site,No,Commercial Vehicles,No,Disagree,Strongly Agree,Written communication skills
3/21/2018 16:54,Female,2016,History and International Studies,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,I have not completed my NYSC,Entry level,Business Developer,Ecommerce/Internet,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,It was an opportunity to progress in the organisation,Entry level,Business Developer,Ecommerce/Internet,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Recruitment agency/Online job site,No,Car,No,Agree,Agree,Critical thinking skills
3/21/2018 16:56,Male,2015,English and Literary Studies,"University of Nigeria, Nsukka",Bachelor's degree,Working full time (paid employment),1,Yes,,No,,,,,,,Experience/Professional,Content Creator/Content Writer/ Content Developer,Consulting,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Recruitment agency/Online job site,No,BRT,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/21/2018 17:00,Male,2014,Chemical Engineering,University of Ibadan,Bachelor's degree,Working full time (paid employment),2,Yes,2015,No,Experience/Professional,Customer Service,Ecommerce/Internet,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Human Resources,Consulting,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,IT/SIWES/Internship experience (gained as part of my course),Recruitment agency/Online job site,No,Uber/Taxify/Taxi services,No,Strongly Agree,Strongly Disagree,"Critical thinking skills, Written communication skills"
3/21/2018 20:54,Female,2016,Estate Management,"Kwara State Polytechnic, Ilorin, Kwara State.",Higher National Diploma (HND),Doing something else (e.g. looking after home or family),0,Yes,2017,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2018 21:14,Female,2017,Business Administration,"Bells University of Technology, Otta",Bachelor's degree,Youth Corper (NYSC),0,No,,I have not completed my NYSC,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2018 8:45,Female,2017,Accountancy,"Babcock University,Ilishan-Remo",Master's degree,"Taking time out to prepare for further studies, GMAT, professional exams",0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2018 9:52,Female,2015,English and Literary Studies,University of Calabar,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,I have not completed my NYSC,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2018 9:59,Male,2013,Demography and Social Statistics,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),2,Yes,2015,No,Entry level,Teacher,Education,"Under ‎₦20,000",No: the qualification was not required,In order to earn a living/pay off debts,Entry level,Data Entry,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"Personal contacts, including family and friends",No,Walking,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Knowledge of the skill(s) you are studying"
3/22/2018 10:14,Male,2016,Transport Management,"Federal University of Technology, Akure",Bachelor's degree,Voluntary or other unpaid work or on an internship,1,Yes,2017,No,,,,,,,Entry level,Customer Service,Consulting,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,The subject(s) I studied,Social media/professional networking sites,Yes: during my higher education study,Commercial Vehicles,No,Strongly Disagree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/22/2018 10:18,Female,2014,Education And English Language,University of Lagos,Bachelor's degree,Working full time (paid employment),6,Yes,2015,No,Entry level,Content Creator/Content Writer/ Content Developer,Media,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Content Creator/Content Writer/ Content Developer,Media,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,My experience,"Personal contacts, including family and friends",No,Motorcycle,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/22/2018 10:48,Male,2016,Mathematics,"Federal University of Technology, Owerri",Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2018 10:54,Female,2017,Economics,Others (For foreign trained students),Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2019,I have not completed my NYSC,,,,,,,Entry level,Finance/Accounting,Consulting,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Don't know,"Personal contacts, including family and friends",No,Car,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/22/2018 11:12,Male,2015,Demography and Social Statistics,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),4,Yes,2017,No,Clerical and administrative,Executive Assistance/Personal Assitance,Consulting,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,It was the best job offer I received,Entry level,Content Creator/Content Writer/ Content Developer,Consulting,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,My ability to create content ,Recruitment agency/Online job site,No,Commercial Vehicles,No,Disagree,Agree,Ability to work with others
3/22/2018 14:47,Female,2017,Chemical Engineering,University of Port-Harcourt,Bachelor's degree,Working full time (paid employment),1,No,2019,No,,,,,,,Entry level,Finance/Accounting,Banking / Financial Services,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),Social media/professional networking sites,Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/22/2018 15:14,Female,2015,Geography,University of Lagos,Bachelor's degree,Working full time (paid employment),3,Yes,2016,No,Entry level,Customer Service,Logistics / Transportation,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Entry level,Researcher,Others,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Personality and experience,Recruitment agency/Online job site,No,Keke Marwa/Napep/Tricycle,No,Agree,Agree,"Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying"
3/22/2018 15:21,Male,2017,Mass Communication (Communication and Language Arts),"Bowen University, Iwo",Bachelor's degree,Self-employed/freelance/entrepreneur,3,Ongoing,2019,No,Managerial,Operations Manager,Manufacturing / Production,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,It fitted into my career plan/it was exactly the type of work I wanted,Managerial,Operations Manager,Manufacturing / Production,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Skills and ability,Social media/professional networking sites,Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/22/2018 15:58,Female,2015,Petroleum and Gas Engineering,Covenant University Ota,Bachelor's degree,Working full time (paid employment),2,Yes,2016,Yes,Clerical and administrative,Customer Service,Others,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It was the only job offer I received,Experience/Professional,Marketing,Others,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Experience gained in the field ,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Disagree,Agree,Ability to solve complex problems
3/22/2018 17:16,Female,2013,Clinical Pharmacy and Pharmacy Management,University of Lagos,Master's degree,Working full time (paid employment),2,Yes,2013,No,Experience/Professional,"Doctor, Nursing And Other Medical Related Roles",Healthcare,"‎₦100,000 - ‎₦149,999",No: the qualification was not required,It was the best job offer I received,Experience/Professional,Sales,Healthcare,"‎₦200,000 - ‎₦249,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,"Personal contacts, including family and friends",Yes: before and during my higher education study,Car,No: From my current job,Disagree,Agree,Knowledge of the skill(s) you are studying
3/22/2018 17:24,Male,2015,Education & Social Science,University of Ilorin,Bachelor's degree,Unemployed,1,Yes,2016,Yes,,,,,,,Entry level,Teacher,Education,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,The level of study,Employer's website,No,Car,No,Agree,Disagree,Critical thinking skills
3/22/2018 17:51,Male,2015,Quantity Surveying,"Federal University of Technology, Akure",Bachelor's degree,Self-employed/freelance/entrepreneur,2,Yes,2017,No,Experience/Professional,Content Creator/Content Writer/ Content Developer,Hospitality/Leisure,"Under ‎₦20,000",No: the qualification was not required,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Event Management,Travels/Tours,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,IT/SIWES/Internship experience (gained as part of my course),Social media/professional networking sites,Yes: during my higher education study,Commercial Vehicles,No,Disagree,Strongly Disagree,Written communication skills
3/22/2018 18:45,Female,2013,Food Science and Technology,"Bowen University, Iwo",Bachelor's degree,Working full time (paid employment),3,Yes,2014,No,Clerical and administrative,Teacher,Education,"Under ‎₦20,000",Yes: the qualification was a formal requirement,In order to earn a living/pay off debts,Managerial,Researcher,FMCG,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Agree,Critical thinking skills
3/22/2018 19:51,Male,2013,Microbiology,"Ebonyi State University, Abakaliki",Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2018 21:29,Female,2015,Philosophy,University of Benin,Bachelor's degree,Self-employed/freelance/entrepreneur,1,Yes,2017,Yes,,,,,,,Entry level,Teacher,Education,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Recruitment agency/Online job site,No,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/22/2018 22:09,Female,2015,Public Health,"Babcock University,Ilishan-Remo",Master's degree,Working full time (paid employment),1,Yes,2016,No,,,,,,,Entry level,Sales,Healthcare,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,No one thing was important,Social media/professional networking sites,No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
